일시,자치구,승차총승객수,하차총승객수
20200101,강남구,195486,191443
20200101,강동구,69689,70369
20200101,강북구,41977,41002
20200101,강서구,116679,118011
20200101,관악구,61337,63849
20200101,광진구,82173,80906
20200101,구로구,96359,97825
20200101,금천구,26979,28114
20200101,노원구,94138,95409
20200101,도봉구,34225,34840
20200101,동대문구,49921,49847
20200101,동작구,103080,106339
20200101,마포구,188773,180446
20200101,서대문구,16459,16772
20200101,서초구,88745,84186
20200101,성동구,59285,60324
20200101,성북구,50466,49636
20200101,송파구,95012,95195
20200101,양천구,31513,32539
20200101,영등포구,114841,115093
20200101,용산구,73877,63036
20200101,은평구,78447,80003
20200101,종로구,137770,132234
20200101,중구,171046,165228
20200101,중랑구,36492,36951
20200102,강남구,661052,691409
20200102,강동구,169166,164765
20200102,강북구,86984,84618
20200102,강서구,261816,253401
20200102,관악구,130156,126547
20200102,광진구,146910,146654
20200102,구로구,230936,228669
20200102,금천구,100802,104112
20200102,노원구,211909,207910
20200102,도봉구,70630,69388
20200102,동대문구,109380,108389
20200102,동작구,225590,225084
20200102,마포구,335067,346697
20200102,서대문구,37489,36411
20200102,서초구,183961,182514
20200102,성동구,165565,168575
20200102,성북구,120256,113182
20200102,송파구,241263,239567
20200102,양천구,84217,84868
20200102,영등포구,311052,316854
20200102,용산구,113349,114631
20200102,은평구,183244,176290
20200102,종로구,285310,289699
20200102,중구,357942,364481
20200102,중랑구,80750,78576
20200103,강남구,709674,750341
20200103,강동구,178307,173245
20200103,강북구,91813,88029
20200103,강서구,276896,263635
20200103,관악구,138013,131518
20200103,광진구,157978,159931
20200103,구로구,240201,239690
20200103,금천구,102851,106475
20200103,노원구,224905,219232
20200103,도봉구,74976,73499
20200103,동대문구,117140,113901
20200103,동작구,245488,243304
20200103,마포구,364792,383976
20200103,서대문구,39698,38074
20200103,서초구,199563,202868
20200103,성동구,175073,177670
20200103,성북구,125823,115634
20200103,송파구,257748,254354
20200103,양천구,88347,88677
20200103,영등포구,334692,339579
20200103,용산구,124110,129481
20200103,은평구,191985,182490
20200103,종로구,309618,314868
20200103,중구,377203,383660
20200103,중랑구,85031,81901
20200104,강남구,439411,457896
20200104,강동구,125697,122013
20200104,강북구,71309,67703
20200104,강서구,189429,181281
20200104,관악구,105353,99542
20200104,광진구,135071,138437
20200104,구로구,181354,181398
20200104,금천구,43949,44432
20200104,노원구,166561,162326
20200104,도봉구,58083,57620
20200104,동대문구,90275,88151
20200104,동작구,190424,188300
20200104,마포구,298720,315235
20200104,서대문구,30625,29963
20200104,서초구,168590,169877
20200104,성동구,109241,109590
20200104,성북구,89540,80779
20200104,송파구,176508,173103
20200104,양천구,60268,59119
20200104,영등포구,201792,204727
20200104,용산구,101760,106857
20200104,은평구,133778,129246
20200104,종로구,251756,257872
20200104,중구,250888,251980
20200104,중랑구,63843,61253
20200105,강남구,270634,271295
20200105,강동구,91234,90771
20200105,강북구,55964,53779
20200105,강서구,140626,139665
20200105,관악구,77973,77281
20200105,광진구,100495,100504
20200105,구로구,136658,136391
20200105,금천구,32399,33352
